F1,Accuracy,Precision,Recall,Features
0.959676598,0.96572935,0.967943516,0.957632399,sess;mqtt;ssl
0.86385927,0.858084359,0.867859334,0.865487427,sess;mqtt;bootp
0.908352045,0.916959578,0.909314394,0.90792082,sess;mqtt;ssdp
0.865741858,0.862917399,0.872426434,0.862592387,sess;mqtt;classicstun
0.889445074,0.895869947,0.891334586,0.888567174,sess;mqtt;ntp
0.961510572,0.960456942,0.962907051,0.960901895,sess;dns;mdns
0.960547764,0.96397188,0.962728171,0.959929822,sess;dns;quic
0.965637537,0.966608084,0.970020889,0.964927278,sess;dns;ssl
0.962187247,0.963532513,0.96533414,0.960526985,sess;dns;bootp
0.967524112,0.968365554,0.968376378,0.966945582,sess;dns;ssdp
0.962963174,0.96397188,0.967451974,0.96195893,sess;dns;classicstun
0.968609775,0.968365554,0.970419164,0.967629357,sess;dns;ntp
0.883479792,0.892794376,0.88739319,0.881689701,sess;mdns;quic
0.957707936,0.960896309,0.964294291,0.956538149,sess;mdns;ssl
0.893070279,0.90026362,0.897036326,0.891022443,sess;mdns;bootp
0.943450819,0.945957821,0.943242131,0.944006527,sess;mdns;ssdp
0.910117801,0.914323374,0.908331723,0.913020063,sess;mdns;classicstun
0.899913701,0.905975395,0.901570262,0.898698221,sess;mdns;ntp
0.950286466,0.9543058,0.955734809,0.949793662,sess;quic;ssl
0.860366024,0.855008787,0.863434032,0.859598168,sess;quic;bootp
0.922442846,0.927943761,0.924738519,0.921511376,sess;quic;ssdp
0.866583534,0.860281195,0.872855149,0.863461682,sess;quic;classicstun
0.893715334,0.900702988,0.899200256,0.891001396,sess;quic;ntp
0.961767415,0.966168717,0.969168422,0.959481458,sess;ssl;bootp
0.953651706,0.958260105,0.958306218,0.952167838,sess;ssl;ssdp
0.963918422,0.966168717,0.971566737,0.961860821,sess;ssl;classicstun
0.96092039,0.961775044,0.96615656,0.96021091,sess;ssl;ntp
0.933700522,0.942003515,0.934706939,0.933294545,sess;bootp;ssdp
0.889473597,0.887521968,0.894491559,0.888515521,sess;bootp;classicstun
0.888200849,0.893673111,0.886980195,0.889823844,sess;bootp;ntp
0.932605453,0.940246046,0.940458724,0.929458447,sess;ssdp;classicstun
0.930206129,0.937170475,0.933036448,0.929257801,sess;ssdp;ntp
0.912881009,0.91827768,0.914718171,0.912236068,sess;classicstun;ntp
0.445396984,0.503075571,0.615144627,0.472897548,tcp;http;mqtt
0.685377635,0.742970123,0.770903229,0.698222072,tcp;http;dns
0.385864063,0.460456942,0.549215726,0.416251824,tcp;http;mdns
0.455202909,0.538664323,0.637755317,0.478520202,tcp;http;quic
0.828171968,0.87741652,0.84105109,0.851634592,tcp;http;ssl
0.519632077,0.586115993,0.724034763,0.547684679,tcp;http;bootp
0.520395629,0.568980668,0.568059418,0.55079049,tcp;http;ssdp
0.470335621,0.569420035,0.610840883,0.503801909,tcp;http;classicstun
0.465224848,0.524165202,0.756746304,0.464292855,tcp;http;ntp
0.72795021,0.752636204,0.796202114,0.733050438,tcp;mqtt;dns
0.397651348,0.476713533,0.459877669,0.43352522,tcp;mqtt;mdns
0.373744233,0.449472759,0.449810059,0.415323878,tcp;mqtt;quic
0.88668836,0.901142355,0.901905309,0.903524739,tcp;mqtt;ssl
0.456072079,0.522407733,0.580605764,0.491011211,tcp;mqtt;bootp
0.459986064,0.499121265,0.465096201,0.505499129,tcp;mqtt;ssdp
0.458278947,0.538664323,0.527527385,0.48880914,tcp;mqtt;classicstun
0.468040971,0.50659051,0.668291895,0.48169694,tcp;mqtt;ntp
0.653700043,0.69771529,0.718944306,0.663047851,tcp;dns;mdns
0.713229165,0.736379613,0.782848079,0.721814754,tcp;dns;quic
0.836978494,0.864235501,0.859129573,0.854423717,tcp;dns;ssl
0.792939337,0.800527241,0.858804495,0.79532722,tcp;dns;bootp
0.791405186,0.807557118,0.862746038,0.792386608,tcp;dns;ssdp
