nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
40653418,51055,899,1,521,75,0,29.9,0,796.2671236901381,0.7776046129786505,25
28307206,36860,900,0,367,104,0,20.825,0,767.9654367878459,0.7499662468631307,25
3866083,11084,900,0,437,232,0,11.364864864864865,0,348.79853843377845,0.34062357268923676,25
988799936,1027425,900,0,388,54,0,31.666666666666668,0,962.4059527459425,0.9398495632284595,25
1212140815,1257732,900,0,361,52,0,31.807692307692307,0,963.7512721311058,0.941163351690533,25
1176889573,1230762,900,0,1167,56,0,31.785714285714285,0,956.2283959043259,0.9338167928753183,25
